katolik	catholic.
kbri	[kedutaan besar republic indonesia] embassy of the republic of indonesia.
kck	[kredit candak kulak] credit extended to small middlemen.
ke	to, going to. ke-atas upward. ke-bawah downward. ke-dalam 1) into. 2) inward. ke-muka to the front. ke-pada to. see pada. ke-samping to the side.
ke-tengah	see tengah.
kea-kea	king parrot.
keabadian	1 durability, permanence. 2 eternity, perpetuity.
keabnormalan	abnormality.
keabsahan	validity, legality.
keadaan	situation, condition.
keadilan	1 justice, justness. 2 judicature.
keagamaan	religious, religiousness.
keagungan	1 grandeur, majesty. 2 greatness, mastery.
keahlian	expertise, skill, competence, know-how.
keajaiban	1 miracle. 2 mystery, wonder. 3 remarkableness.
keajegan	regularity, constancy.
keakbaran	exaltation, elevation, glorification.
keakraban	1 intimacy, familiarity. 2 solidarity.
keaktifan	being active.
keakuan	egoism.
keakuran	1 conformity. 2 harmony.
keamanan	1 safety, security. 2 peacefulness, tranquillity.
keampuhan	1. 1) magical power. 2) potency. 2. flooded, inundated.
keampunan	forgiveness, pardon.
keanehan	1 oddity, peculiarity. 2 idiosyncrasy.
keanekaan	variety.
keanekaragaman	variety, diversity.
keanekawarnaan	variety, miscellany, assortment.
keanggunan	1 elegance. 2 affectation. 3 haughtiness, aloofness.
keangkara-murkaan	ruthlessness, evilness.
keangkaraan	1 greed, covetousness. 2 ruthlessness.
keangkuhan	1 arrogance, conceit. 2 vanity.
keantengan	imperturbability, calm.
keapatisan	apathy.
keapikan	neatness, tidiness.
kearifan	1 learning, wisdom. 2 ability.
kearsipan	1 archival matters. 2 records.
kebabal	young jackfruit.
kebacut	(java) gone too far, taken an irrevocable step.
kebadutan	1 clowning, buffoonery. 2 ridicule. 3 absurdity, ridiculousness.
kebah	break out in sweat after a high fever has broken.
kebaji	k.o. spell (that makes a married couple love or hate e.o.).
kebal	1 invulnerable (to bullets, etc.). 2 immune (from prosecution, taxes, etc.). 3 insentive.
kebam	lead-gray.
kebambam	k.o. mango.
kebangetan	excessively, terribly, overly.
kebas	1. 1) paralyzed, paralysis. 2) stiff from fatigue. 3) numb. 2. meng-kebas(kan) 1) shake out (a cloth, bedsheet, etc.). 2) flap (wings), wag the tail.
kebat	bunch, bundle. kebat-an 1 bond. 2 tightener, wrapper.
kebat-kebit	nervous, agitated.
kebaya	k.o. woman's blouse the front of which is pinned together, us. worn with a sarong.
kebayakan	1 overly fat, quite obese. 2 very stout. 3 plumpness, stoutness, obesity.
kebayan	1. village official in charge of security. 2. see nenek.
kebel	see kebal.
kebeler	(coll.) accidentally cut oneself with a sharp object.
kebelet	(coll.) have an urgent need to do s.t. (esp. defecate or urinate).
kebembem	see kebambam.
kebendaan	1 matter. 2 material, physical, substantive. 3 material wealth.
keberadaan	existence.
keberangkatan	departure.
keberhasilan	success
kebersamaan	togetherness.
keberuntungan	keberuntungan
kebes	wet, soaked.
kebet	(java, jakarta) pages of a book.
kebin	1 (naut.) cabin. 2 movie projection booth.
kebiri	1 castrated, neutered. 2 emasculated.
keblinger	(coll.) 1 confused, dizzy. 2 come to thing the wrong way about s.t., lose perspective on s.t.
kebluk	(sunda) be fond of sleeping, sleep soundly.
kebo	see kerbau.
kebon	1 (coll.) gardener. 2 (coll.) janitor. 3 garden.
kebrutalan	brutality.
kebuk	cylindrical tool for making rice-flour vermicelli.
kebuli	see nasi 1.
kebun	1 garden. kebun-binatang zoo. kebun-bunga flower garden. kebun-raya the botanical garden at bogor. 2 estate, plantation. 3 (coll.) gardener.
kebur	meng-kebur churn, whip up the ocean.
keburu	see buru.
kebut	1. (me)ng-(k)ebut 1) drive at excessive speed. 2) race, have a drag race. 3) speed up an activity. 4) compete fiercely, push ahead. 2. meng-kebut(i) dust off (furniture, etc.).
kec.	[kecamatan] subdistrict.
kecah	see kecuh-kecah.
kecai	ber-(2), ter-kecai smashed, broken to bits (of glass, pottery, etc.), torn to shreds (of paper, cloth).
kecak	1. make a smacking sound while eating to express astonishment or call an animal. 2. ber-kacak-pinggang with hands on the waist and arms akimbo. ke`cak k.o. balinese group dance featuring a seated chorus, the monkey dance.
kecam	meng-kecam(kan) 1 critize. 2 investigate, consider carefully. 3 revoew, write a criticism of (a book, play, atc.).
kecambah	shoot, sprout. per-kecambah-an germination.
kecamik	sound of murmuring.
kecamuk	raging, uproar.
kecandak	(java) 1 can handled or picked up. 2 caught, seized.
kecandan	joke, jest.
kecantol	see cantol.
kecap	1 sound of smacking the tongue. 2 word. kecap-an taste of s.t.
kecapean	see capai 2.
kecapi	1. k.o. plicked stringed instrument. 2. k.o. sour fruit grown commercially in some areas.
kecaprak	(java) ng-kecaprak open o.'s big mouth (when o. should be quiet).
kecar	k.o. salad of unripe fruits with a pungent sauce.
kece	1 (java) cross-eyed. 2 (jakarta, sl.) great, good looking.
kecebong	1. tadpole. 2. chitchat, small talk.
kecelakaan	1 accident, mishap. 2 bad luck.
kecele	1 disappointed, fail to meet s.o. or find s.o. at home and feel bad about it. 2 feel cheated or fooled, feel o. has been made a fool of. kecele-bule completely fooled.
kecelek	see keseleg.
kecelik	see kecele.
kecenderungan	1 inclination, preference. 2 tendency, willingness. 3 trend.
keceng	with o. eye closed.
kecer	k.o. cymbal (in the gamelan orchestra).
kecerlangan	beauty.
kecewa	1 disappointed. 2 fail to meet the success o. had been expecting.
keci	(naut.) ketch.
keciak	ber-keciak cheep, peep (of chickens).
kecibak	sound of water splashing.
kecicak	ber-kecicak stamp with the feet.
kecik	(coll.) see kecil.
kecil	1 small. 2 little, young. 3 minor, insignificant, trivial.
kecimpung	ber-kecimpung(an) 1 splash around. 2 plunge into an activity.
kecimus	scorn. meng-kecimus show scorn with the lips.
kecindan	see kecandan.
kecipak	sound of splashing water.
kecipir	k.o. four-sided bean eaten as a vegetable.
keciput	k.o. small cake sprinkled with sesame seeds.
kecit	see kecil.
keciut	whistling, whizzing (of bullets).
kecoak	see kacoa.
kecoh	spit s.t. out. kecoh-an cuspidor.
kecomak-kecemik	1 for the mouth to move with out uttering anything. 2 chew slowly with lots of food in the mouth.
kecrek	(java) pieces of metal on strings which are made to rattle for sound effects in the wayang.
kecrekan	1 (java) instrument used by an itinerant welder to attact the attention of would-be customers. 2 (coll.) handcuffs.
kecres	(java) meng-kecres 1 strike (a match). 2 slash.
kecu	(java) robber, bandit.
kecuak	see kacoa.
kecuali	1 except. 2 aside from, besides.
kecubung	1. 1) k.o. poisonous plant with large trumpet-shaped flowers, the jimson. 2) cone-shaped. 2. see batu.
kecuh-kecah	make a fuss.
kecumbung	see batu.
kecumik	ber-mumble, mutter.
kecundang	see cundang 1.
kecup	sound of a kiss. kecup-an kiss.
kecut	1. 1) wrinkled, shriveled, shrunken. 2) seared (from flames). 3) afraid. coward. 2. sour (of taste, face). 3. ber-kecut-kecut screak, squeak,screech (of a wheel that needs lubricating).
keda	see kedah.
kedabu	k.o. tree producing firewood.
kedadak	choleric diarrhea.
kedah	open wide (of mouth), spread wide (of legs).
kedai	shop, small place that sells s.t. or serves food.
kedal	fungoid disease of the hands and feet.
kedaluwarsa	1 superannuated. 2 barred by statute of limitations.
kedang	1. 1) outstretched (of hands, arm, etc.). 2) extension (opposite of flection of limbs). 2. meng-kedang drain, pour water off rice.
kedangkai	k.o. plant, the leaves of which are used as medicine.
kedap	1 hermetical, impermeable, watertight. kedap-abu dustproof. kedap-air waterproof, watertight. kedap-suara soundproof. 2. closemeshed, tighly woven (of cloth, wickerwork, etc.). ke-kedap-an impermeability.
kedar	see kadar 1.
kedasih	(java) k.o. cuckoo.
kedaton	see keraton.
kedau	meng-kedau scream (for help).
kedaung	/kedawung/ k.o. large forest tree, the bark, leaves and seeds of which are used medicinally.
kedek	ter-kedek-kedek 1 stagger. 2 waddle, toddle.
kedekai	a myrobalan, a tree and its fruit, used medicinally
kedekak-kedekuk	not moving freely, stopped up here and there.
kedekar	miserly.
kedekeran	(jakarta) be agitated, kick the feet in agitation.
kedekut	stingy.
kedelai	/kedele/ soybean.
kedempung	1. sound of s.t. falling into water. 2. wormy, worm eaten (of fruit, etc.).
kedengkang	sound of a gong being struck.
kedengkik	very thin, thin as a rail, skin and bones.
kedengkung	sound of a deep gong being struck.
keder	(jakarta) confused, lose o.'s way.
kedera	k.o. small mullet.
kederang	spiny bush, the roots of which are made into dye.
kedi	1 transvestite. 2 a preadolescent girl. 3 lacking sexual power.
kedian	see kemudian.
kedidi	k.o. plover or sandpiper.
kedik	bent slightly backward (of body).
kedip	1 wink (of an eye). 2 flicker.
kedirgantaraan	aerospace affairs.
kedok	1 mask. 2 guise, cover. ber-kedok wear a mask, masked.
kedombak	1 k.o. forest tree. 2 k.o. fish.
kedomprengan	sound of metal objects clattering.
kedondong	/kedongdong/ k.o. tree with edible, but fibrous, sour, plumlike fruit sometimes eaten cooked.
kedosenan	having to do with lecturers.
kedubes	[kedutaan besar] embassy.
keduduk	1. see senduduk. 2. see duduk.
keduk	(java) a scoop. meng-keduk 1 scoop. 2 rake in (a profit).
kedumel	grumble, complain under o.'s breath.
kedung	1 pool. 2 center of information.
kedurjanaan	evil, crime.
kedut	1. 1) fold, crease. 2) wrinkled, crumpled (of paper). 2. a twitch.
kedutaan	embassy.
keeper	/kiper/ (sport) goalie.
kegat	bite hard.
kegatalan	1 itchiness. 2 irritation.
kegemaran	1 o.'s hobby, what o. is fond of, amusement. 2 fondness, passion.
kegemukan	too fat, overweight.
kegencaran	1 too fast, too often. 2 rapidity.
kegendutan	1 corpulence. 2 too fat.
kegenitan	coquettishness.
kegerahan	1) suffer from sultry weather. 2) mugginess.
kegerejaan	ecclesiastical, concerning the church.
kegetolan	industry, industriousness, diligence.
kegiatan	1 energy, ardor. 2 activity.
kegigihan	persistence, perseverance.
kegoblokan	stupidity, folly.
kegombrongan	too large, too loose.
kegoncangan	1 jolt, jarring. 2 shock.
kegundahan	depression, dejection, despondency.
kehadiran	presence, attendance.
kehampaan	1 emptiness. 2 disappointment. 3 vacuum.
kehancuran	destruction.
keharuman	1 fragrance. 2 fame, renown.
keharusan	1 necessity, requirement. 2 imperative, must.
kehausan	1) suffer thirst, be thirsty. 2) thirst, thirstiness.
kehel	1 crooked, twisted, deformed. 2 off course (of ship, plane, etc.). 3 sprained, twisted (ankle, etc.).
kehendak	wish, desire.
keheningan	1 clarity, purity. 2 stillness, silence, quietness.
keheranan	1 wonder, miracle. 2 be amazed.
kehewanan	pertaining to animals.
kehilangan	1 suffer from a loss. 2 loss.
kehukuman	legal, juridical.
kehutanan	forestry, silviculture.
keibu - ibuan	feminine, motherly.
keimaman	catholic priesthood.
keimigrasian	matters pertaining to immigration.
keindividuan	individuality.
keinflasian	suffer from inflation.
keistimewaan	1 peculiarity, peculiar feature. 2 special treatment, s.t. better than the normal.
kejadian	1 (bib) creation,genesis 2 incident , event , occurrence 3 ffair,party,get together 4 case .
kejahanaman	acused experience.
kejahatan	1 evil, wickedness. 2 felony, misdeed, crime.
kejai	k.o. tree producing rubber. ber-kejai stretch (after sleeping).
kejaksaan	1 office of the counsel for the prosecution. 2 attorney (general). 3 judiciary.
kejam	1. closed (of eyes). 2. 1) cruel, brutal. 2) (coll.) stingy, miserly.
kejamas	a lotion for rinsing the hair made from water in which the ashes of rice stalks have been immersed.
kejang	1 stiff. 2 in convulsions, seized with a camp or spasm.
kejangkitan	1 conatminated, infected, smitten by (virus, germ, disease). 2 smitten by.
kejap	a wink of the eye, blink. se-kejap(mata) a second.
kejar	1. ber-kejar-kejar-an 1) chase e.o. 2) race e.o. 3) compete (in achievement). pursuing of. 2. [kelompok belajar] study group.
kejasmanian	materialism.
kejat	1 stiff, rigit. 2 firm, sturdy, tight.
kejauhan	1 distance, distant place. 2 too far.
kejawen	1 mysticism associated with the java view of the world. 2 general java knowledge.
kejayaan	1glory, fame. 2 prosperity, wealth.
kejeblos	see jeblos.
kejelian	carefulness of observation or work.
kejelitaan	kejelitaan
kejen	plowshare.
kejengkang	see jengkang.
keji	despicable, shameful, contemptible (deed).
kejip	see kedip, kejap.
kejiwaan	spiritual, psychic, psychological.
kejora	morning star.
kejot	see kejut.
keju	cheese. keju-kacang peanut butter.
kejuju	meng-kejuju flowing, streaming ceaselessly.
kejumudan	1 obstinancy, unbendingness. 2 being old-fashioned, resistant to change.
kejur	stiff, unbending, inflexible (of bristles in a brush, hair, fibers, etc.).
kejuruan	1 vocational. 2 vocation, trade.
kejut	1 frightened, scared. 2 startled. kejut-an jolt, shock.
kek	1. you could have... or you could have s.t. else, it does not matter if it is....or if it is... 2. see kakek.
keka	/kekah/ see akekah.
kekacauan	confusion, disorder.
kekafiran	infidel state, paganism.
kekah	long-tailed leaf monkey.
kekal	1 eternal, everlasting. 2 durable, lasting. 3 colorfast.
kekalapan	confusion, bewilderment.
kekalutan	confusion.
kekam	scum, plankton or algae floating on surface of water.
kekanak - kanakan	puerile, childish.
kekandasan	failure.
kekang	1 bridle, reins. 2 restraint, curb.
kekap	see kekep.
kekapas	k.o. bird, leafbird.
kekar	1. 1) open, unfolded. 2) spread out. 2. 1) solid, firm (body, etc.) 2) squat, hefty. 3) tight, close (of weaving, etc.).
kekaras	see karas-karas.
kekas	see kakas.
kekasih	beloved, sweetheart.
kekat	scum or algae floating on the surface of water.
kekau	wake up suddenly from a deep sleep.
kekawin	see kakawin.
keke	see burung.
kekeh	ter-kekeh-kekeh laugh loudly.
kekek	1. ter-kekek-kekek giggle, snicker. 2. see burung.
kekekalan	1 constancy. 2 durability.
kekeliruan	error, mistake.
kekentalan	viscosity, thick consistency.
kekenyangan	1satiation. 2 too full, overly full.
kekep	(jakarta) ng-(k)ekep-in hold in tight embrace, get hold of.
keker	1 binoculars. 2 telescope.
kekerabatan	1 kinship. 2 (ling.) genetic relationship.
kekhasan	special characteristics.
kekhi	/keki/ (jakarta, china) 1 annoyed, irritated, resentful. 2 ill at ease, uncomfortable.
kekhianatan	treason, betrayal.
kekhidmatan	solemnity, respectfulness, obedience.
kekhilafan	mistake, error, slip.
kekisi	lattice.
kekocakan	1 hilarity. 2 smartness. 3 being arrogant.
kekok	clumsy, awkward, blundering.
kekompakan	1 compactness. 2 harmony, solidarity. 3 togetherness, cohesiveness.
kekudung	scarf used as head covering.
kekunoan	1conservatism. 2 antiquity.
kel.	[keluarga] family.
kelab	see klab-malam.
kelabakan	1 flounder about, run around like a chicken without a head. 2 be at a loss (what to do).
kelabang	1. k.o. centipede. 2. braid (of hair).
kelabat	fenugreek, k.o. aromatic seed used as a spice or medicine.
kelabu	gray, ash colored.
keladak	dregs, sediment, residue.
keladan	the champhor tree.
keladau	meng-keladau keep an eye on.
keladi	1 taro. 2 calladium, general name for aroids. tua-tua-keladi the older o. gets the worse (or better) he is.
kelagepan	chore.
kelah	1 complaint. 2 a charge. 3 tell on s.o., complain.
kelahi	quarrel, argument, fight. ber-kelahi fight with the fists, clash, fight over.
kelai	see kalai 1.
kelainan	1 difference, deviation. 2 aberration, anomaly, disorder.
kelak	1. later. 2. k.o. bird, cuckoo-dove. 3. see kelah.
kelak-kelik	flickering (of light, etc.).
kelak-keling	see kerakeling.
kelak-keluk	1 curve, curves. 2 details, ins and outs of s.t.
kelakar	a joke, jest, wisecrack.
kelakat	see kalakat.
kelakatu	flying ant.
kelakson	see klakson.
kelakuan	1 deed, act. 2 behavior, demeanor.
kelalang	slender-necked earthenware bottle, decanter.
kelalap	see kelelap.
kelam	1. 1) dull, overcast. 2) dark, obscure. 3) dim (of eyesight). 2. clamp.
kelamai	see gelamai.
kelambai	see kelembai.
kelambanan	1 indolence. 2 torpor, inertia. 3 laziness. 4 awkwardness, clumsiness.
kelambir	1. see kerambil. 2. see gelambir.
kelambit	flying fox.
kelambu	mosquito net.
kelamin	1 pair, couple (male and female). 2 sex, gender.
kelamun	meng-(k)elamun daydream, muse.
kelan	k.o. vegetable, china broccoli.
kelana	wanderer, rover. ber-, meng- roam, wander.
kelancangan	1 presumption, effrontery. 2 impudence, insolence.
kelang	see kilang.
kelang-kabut	see kalang-kabut.
kelangkan	see langkan.
kelangkang	crotch, groin.
kelanjar	see kelenjar.
kelantang	meng-kelantang beach, whiten, dry in the sun.
kelantang-kelanting	sound of knocking, ratting, chattering, etc.
kelap	kelap-kelip blinking, flickering.
kelapa	coconut. kelapa-gading coconut with yellow-colored hull. kelapa-kering 1 copra. 2 desicated coconut.
kelaparan	1 hunger. 2 famine, starvation. 3 be famished.
kelar	1. (coll.) 1) ready, done, finished. 2) settled, in order, arranged. 2. notch, indentation.
kelarah	k.o. fruit worm.
kelarai	diamond-shaped pattern (of clotch, plaited mat, etc.).
kelarap	k.o. small lizard.
kelari	k.o. freshwater fish.
kelas	1. 1) class. 2) classroom. 3) grade. 4) (biol.) class. 2. neap tide.
kelasa	1. camel's hump. 2. (java) mat.
kelasah	see kelusuh-kelasah.
kelasak	(lit.) long body shield.
kelasi	1. sailor, ordinary seaman. 2. proboscis monkey.
kelat	1. (naut.) brace, sheet (of sailing vessel). 2. astringent (of fruits). 3. name given to various myrtaceous trees. 4 meng-kelat stuck (of eyes as after waking up).
kelawar	1. (crd.) club. 2. see kelelawar.
kelayab	see kelayap.
kelayah	ter-kelayah be stretched out.
kelayang	k.o. bird, swallow.
kelayap	(coll.) ber-(an), nge- roam the streets.
kelayu	k.o. tree.
kelder	cellar.
kelebat	see kelibat 2.
kelebek	/kelebet/ folded at the corner or edge (dog-eared pages of a book, tucked-in edge of a bedspread, etc.).
kelebu	1 taking in water (of foundering ship). 2 sink (of a ship, boat).
kelebut	1 shoe last, shoe tree. 2 mold for hats.
kelece	meng-kelece-i tease.
keledai	donkey, ass.
keledang	1 k.o. large timber tree. 2. k.o. artocarpus tree that produces small, delicious fruit.
keledar	ber-keledar approach carefully.
keledek	see ubi.
keleh	see kelih.
kelejat	ber-kelejat-an tremble or shiver strongly, have convulsions.
kelek	1 banister. 2 armrest. 3 armpit.
kelelakian	masculinity.
kelelap	sink into the water, disapper from sight.
kelelawar	cave bat.
keleleran	scattered around, strewn about.
kelelesa	chameleon.
kelelot	stick out the tongue.
keleluasan	freedom (an action).
kelem	(coll.) sunk, foundered, submerged.
kelemapih	gangrene.
kelemarin	see kemarin.
kelemayar	k.o. luminous millipede.
kelemayuh	gangrene.
kelembahang	k.o. aroid.
kelembai	supernatural being depicted as a giant female with red hair.
kelembak	1. aloes wood. 2. china rhubarb.
kelemban	ber-kelemban go roundabout, go around.
kelembuai	large dark-shelled snail.
kelembubu	whirlwind.
kelembung	inflated.
kelempai	ter-kelempai stretched out weakly.
kelemping	(jakarta) flabby and sagging (of breasts or belly).
kelemumur	dandruff.
kelencer	(me)ng-, kelencer-an take a walk, go on a tour.
kelendara	(naut.) ring attaching yard to mast.
kelendungan	slack.
keleneng	1 sound of a bell. 2 small bell (of a bike, etc.). ber-keleneng clang, tinkle (of bell).
kelengahan	1 neglectfulness, inattentiveness. 2 idleness.
kelengar	see lengar.
kelenggara	see selenggara.
kelengkeng	1. longan, k.o. fruit similar to rambutan or lychee, but smaller with smooth brown skin. 2. small hornbill.
kelengkong	intrigue, conspiracy.
kelening	see keleneng.
kelenjar	gland. kelenjar-air mata tear duct. kelenjar-dada/susu mammary gland. kelenjar-getah bening lymph gland. kelenjar-gondok thyroid gland.
kelentang	1. sound of a tin can being struck. 2. see kelantang.
kelenteng	sound of the tinkling of a bell. kelenteng/kelenting 1 china temple. 2 pagoda.
kelentikan	suppleness, pliability.
kelentit	1. (vulg.) clitoris. 2. ornamental climbing plant with blue flowers.
kelentom	/kelentong/ 1 speech intonation. 2 tone of voice.
kelentung	1 sound of a cowbell. 2 wooden bell.
kelenung	1 sound of a small gong. 2 small gong.
kelep	see klep.
kelepai	ber-, meng-, ter- hang down limply (of a flag, ears of a hound, broken branch, etc.).
kelepak	sound of a hand slapping s.t.
kelepat	meng-kelepak (naut.) caulk.
kelepek	/kele`pe`k/ meng-, ter flutter.
kelepet	see kelebek.
kelepik	see kelepek.
kelepir	testicles.
kelepon	k.o. round cake of sticky rice filled with coconut and palm sugar.
kelepuk	sound of an object falling to the ground.
kelepur	see gelepur.
keler	(coll.) a westerner who converts to islam and follows indigenous customs.
kelerak	k.o. fruit producing soapy foam used for washing clothes, esp. batik.
kelerek	see klerk.
kelereng	1. marbles. ber-kelereng play or shoot marbles. 2. see kelerak.
kelesa	k.o. river fish.
keleseh-peseh	see kereseh-peseh.
kelesek	dried skin of banana trunk (cut up in strips and used as twine for wrapping packages).
kelestarian	kelestarian
kelet	be stuck on.
keletah	1 coquettish. 2 affected (in manner).
keletak	sound of a pebble striking wood. ber-keletak make a clacking sound with wooden or leather heels.
keletang	sound of jingling or tinkling (of silver coins).
keletar	see geletar.
keletik	sound of ticking.
keleting	sound of tinkling (of coins, etc.).
keletuk	1. 1) sound of rapping on a hollow wooden surface, table, etc. 2) sound of creaking (of wooden furniture, floor, etc.). 2. see jambu.
keletung	sound of a can being struck.
keletus	(me)ng-keletus bite, chew on hard things.
kelewang	see klewang.
kelewar	(naut.) foresail.
kelewat	see lewat.
kelezatan	1 taste. 2 delicacy. 3 infatuated, enamored. 4 enjoyment, pleasure.
keli	edible river catfish.
kelian	1. tin mine. 2. (bali) village official. 3. see kalian.
keliar	ber-keliar-an 1 roam or wander about, drift from o. place to another. 2 swarm about (of ants, birds, etc.).
kelibang	swarm about, fly around (of insects).
kelibat	1. double-bladed paddled. 2. appearing for a flash. ber-kelibat(an) be visible for only a second, flash by. se-kelibat(an) in a moment. 3. see libat.
kelici	a hand nut (for playing with), marbles.
kelicih	/kelicik/ 1 skid. 2 slip.
kelicikan	1 cunning, wiliness, ability to twist words. 2 artifice, scheme.
kelih	look, turn the head to look.
kelihatan	1 visible, in sight. 2 discernible.
kelik	1. slight curve, turn. 2. make a loud sound. 3. see klik.
kelik-kelok	k.o. small stinging red ant.
keliki-kanji	(m) k.o. weed the seeds of which adhere to cloth.
kelikik	giggle, titter.
kelikir	1. rattan nose ring (for cattle). 2. see kerikil.
keliling	1 circumference, area around. 2 periphery. 3 surroundings. ber-keliling go around.
kelilip	(java, jakarta) speck in the eye.
kelilipan	get s.t. in the eye.
kelim	hem.
kelima	1. 5th. 2. the five.
kelimis	see klimis.
kelimpungan	(java, jakarta) confused, distraught.
kelimun	group, crowd.
kelincahan	1 liveliness, friskiness. 2 agility.
kelinci	rabbit, hare. kelinci-hutan black-naped hare. kelinci-percobaan guinea pig.
kelincir	slip, skid
kelinciran	1 oilness. 2 slickness. 3 smoothness.
kelindan	1 newly spun thread. 2 conveyor rope of the spinning wheel. 3 thread on a needle. 4 bobbin, spool.
kelindas	see lindas.
keling	1. (derog.) a person from s. india. 2. rivet.
kelingking	little finger, pinkie. kelingking-kaki little toe.
kelingsir	enlargement of the testicles due to hernia and descent of intestines or accumulation of water.
kelinik	see klinik.
kelining	see kelinting 1.
kelinjat	ter-kelinjat-kelinjat move o.'s body nervously.
kelintar	(ber)kelintar-an 1 walk or roam about, walk up and down or back and forth. 2 hang around, lurk.
kelinting	small bell.
kelintingan	tinkle (of bells).
kelintung	rattle (of a snake).
kelip	1. kelip-kelip 1) firefly. 2) spangles, sequins. 3) flicker. ber-kelip 1) blink. 2) twinkle, glitter (of spangled things). 2. a coin valued at five cents (in the colonial period).
kelipat	ber-kelipat folded, pleated.
kelipik	speck.
kelir	1. color. 2. 1) curtain, screen. 2) screen for a movie, shadow play, etc. 3) disguise, cover, mask.
keliru	1 wrong, erroneous. 2 be mistaken, make a mistake.
kelis	meng-kelis dodge.
kelit	ber-kelit zigzag, dart back and forth.
kelitak	sound of seeds rattling inside dried fruit.
keliti	(naut.) oarlock, rowlock.
kelitik	1. see gelitik. 2. see wayang
keliwat	see lewat.
keliwer	see seliwer.
kelobot	see klobot.
kelocak	ber-kelocak shake.
keloceh	see celoteh.
keloget	ber-keloget-keloget wriggle, writhe.
kelojot	convulse.
kelojotan	1. convulse. 2. writhin in pain.
kelok	curve, bend, turn.
kelola	1 manage (a business, etc.). 2 carry out, execute (a job, etc.).
kelom	wooden clogs. kelom-geulis (sunda) woman's wooden dress slipper.
kelomben	see kolemben 2, kolembeng2.
kelompang	1 empty. 2 empty eggshell, fruit peel, etc.
kelompok	1 group. 2 cluster. 3 category.
kelon	(java) accompaniment of s.o. lying down (esp. of a small child by an older person).
keloneng	sound of a ringing bell.
kelong	large sea fish trap with two or three compartments.
kelongkong	young coconut.
kelongsong	1 husk. 2 wrapper (of paper, leaf, etc.). 3 cartridge case.
kelontang	rattling sound of tin cans, clappers, etc.
kelontong	1 bamboo clapper (used by peddlers or hawkers). 2 peddler. 3 sundries, five-and-dime goods.
kelonyo	/kelonyor/ eau de cologne.
kelop	1 jibe, tally, square. 2 balanced. 3 fit togheter. 4 be in agreement.
kelopak	1 (biol.) sheath, spathe, calyx, bract. kelopak-bunga sepal. 2 calyxlike covering for s.t. other than a plant.
kelor	the merunggai tree, a small quick-growing tree cultivated for its edible piunnate leaves. dunia tidak sedaun-kelor the world is bigger than a merunggai leaf (there is plenty of opportunity to find a lover).
kelos	reel, spool, bobbin.
keloset	see kloset.
kelosok	rub hard, scour.
kelotak	kelotak-kelotek bustling about (in the kitchen, etc.). ber-kelotak rustle, jangle (of silverware, etc.).
kelotok	meng-(k)elotok fall off, be shed (of akin, feathers, peels).
keloyak	ber-keloyak slough (the skin). ter-keloyak be peeled (of skin).
keloyang	1 k.o. small bird. 2 a stupid person.
keloyor	see keluyur.
kelu	dumb, mute, speechless (from fright).
keluak	the fruit of the kepayang tree used as a spice.
keluan	nose rope (for cattle).
keluang	k.o. fruit-eating bat.
keluar	1 go or come out. 2 exxit, leave, go off (the track). 3 turn out to be.
