positif	/positip/ positive.
pula	1 likewise, as well. 2 again. 3 (who, where, how, etc.) alse ? 4 (who, where, why, how, etc.) do you think, (what, etc.) in the world. 5 do unnecessarily.
pulai	k.o. tree whose bark is medicinal and with corklike wood.
pulak	see pula.
pulan	1 good-tasting (of cooked rice or tubers cooked to proper softness). 2 smooth and mellow.
pulang	1 return home. 2 be left up to.
pulas	1. fast asleep. 2. a dab. 3. 1) turn, wring. 2) twist, distort. 3) have coloc.
pulasan	1. 1) outward appearance. 2) s.t smeared on. 2. k.o. rambutan whit short nubbles as if the hair had been tweaked off.
pulasari	liana with yellow flowers.
pulau	island.
pulauisme	insularity.
pule	see pulai.
pulen	see pulan.
pules	see pulas 1.
puli	1. o. of the parts of the automobile chassis. 2. rice cracker.
pulih	1 recovered from an illness. 2 restored, repaired.
pulisi	see polisi.
pulkanisir	see vulkanisir.
pulpen	fountain pen.
pulsa	beat, throb, pulse.
puluh	counter for a multiple of 10. puluh-an 1 tens, decades. 2 10-rupiah note.
pulun	1 rise (of smoke). 2 rise like smoke (of thoughts).
pulung	1. pellet. 2. (java) flash of light which gives o. power enabling him to be legitimized as ruler.
pulungan	s.t. rolled into pellets.
pulur	see empulur.
pulut	1 glutinous rice. 2 birdlime.
pumigasi	see fumigasi.
pumpun	flock together.
pumpunan	1 meeting place, 2 center.
pun	1 (lit.) then, subsequently. 2 also. 3 even. 4 who, where, what, etc. ever it might be, everywhere, everyone, everything, etc.
punah	extinct.
punai	pigeon.
punakawan	(java) servants of royalty in wayang.
punat	(med.) core of a boil.
punca	1 flap, tail, end. 2 beginning, introduction, elementary. 3 initial cause.
puncak	1 top, summit. 2 peak, mount. 3 acme, zenith.
pundak	1 shoulder. 2 neck.
punden	(java) holy place (graves of ancestors, sacred trees, etc.).
pundi	1 earthen jar to hold water. 2 crockery piggy-bank. pundi-pundi purse, bag.
punding	knot.
pungak-pinguk	be or look embarrassed.
punggah	load, cargo.
punggahan	place for loading cargo.
punggal	mem-punggal break off the point of s.t.
punggawa	court official in java shadow play.
pungguk	k.o. owl.
punggung	back.
punggur	tree trunk.
pungkah	piece, lump.
pungkasan	final, end.
pungki	see pengki.
pungkir	see mungkir.
pungkur	1 rear end, posterior. 2 residue.
pungli	[pungutan liar] toll or tariff collected without proper legal authority.
pungliwan	o. who extracts illegal tolls.
pungsi	see fungsi.
pungut	adopted.
pungutan	1 pickings, harvest. 2 quotation. 3 tax levied. 4 amount collected, collection (in church).
punjul	(java) a bit over in amount.
punjung	trellis, bower.
punjut	tie together.
punktuasi	/pungtuasi/ punctuation.
punokawan	see punakawan.
punsu	[china] able, talented.
punt	/pent/ 1 that is the end of it, period. 2 period, point.
puntal	1 winding round. 2 in balls.
puntalan	1 bobbin spool. 2 ball of wool.
punten	(sunda) excuse me.
punti	see buah.
puntianak	k.o. vampire or blood-sucking supernatural being.
puntil-susu	nipple.
puntir	mem-puntir wind, twist firmly.
puntiran	1 torsion. 2 s.t. twisted.
puntng-panting	see pontang-panting.
puntul	dull, blunt.
puntung	1 blunt. 2 butt, stub, stump. 3 maimed. crippled, mutilated.
punuk	see ponok.
punya	1 (coll.) have, possess. 2 belonging. 3 (coll. ) a possessive marker. 4 after, with.
pupu	degree of consanguinity.
pupuh	1. ber-pupuh fight. mem-pupuh beat. 2. strophe.
pupuk	1. manure, fertilizer. 2.(java) put traditional medicines on a wound.
pupun	collect (e.g. rubber).
pupunan	gathering of rubber.
pupur	face powder.
pupus	1. budding leaf, leaf that has just come out. 2. 1) wiped out, obliterated. 2) disappeared.
puput	whistle, flute, blow.
puputan	1) pair of bellows. 2) blowing of the wind.
pur-	complete, post-(in formal words or titles).
pura	1. 1) bag. 2) fund. 2. balinese temple, shrine.
pura-pura	1 pretend. 2 pseudo, mock.
purata	(math.) mean.
purba	old, ancient, antique.
purbakala	olden times.
purbakalawan	archaeologist.
purbasangka	prejudice.
pure	puree.
purek	[pembantu rektor] assistant to the rector.
purel	[public relations] public relations.
puri	1 castle, royal palace. 2 town. 3 balinese house of worship.
purifikasi	purification.
purik	go home for sympathy out of anger.
puring	see puding 1.
purn.	[purnawirawan, purnakaryawan] retired, emeritus.
purnakaryawan	retired civil servant.
purnakata	what is said in conclusion.
purnama	full moon.
purnaswasta	o. retired in private sector.
purnawirawan	retired armed services officer.
puru	sore, boil, ulcer.
puruk	hide s.t. inside.
purun	k.o. rush used for basket weaving.
purus	diarrhea.
purut	rough-skinned. jeruk-purut k.o. nubbled lime used as condiment.
purwa	see wayang.
purwaka	in the beginning, formerly.
purwakanti	(ling.) assonance, alliteration.
purwoceng	k.o. aphrodisiac.
pusa	1 momentum. 2 desire to do s.t.
pusaka	heirloom.
pusar	navel.
pusara	1. 1) cemetery. 2) grave. 2. reins.
pusaran	1 rotation. 2 handle, crank. 3 vortex.
pusat	1 navel. 2 center. 3 center, central, main.
puser	(java) navel.
pusing	1 whirling, dizzy. 2 be puzzled, confused, worried. pusing-an rotation.
puskesmas	[pusat kesehatan masyarakat] local gvt. clinic.
puso	parched, dried up.
puspa	(lit.) flower.
puspen	[pusat penerangan] information center.
puspita	(lit.) flower.
pustaka	1 book. 2 divining manual.
pustakawan	librarian.
pusu	1. (m) troop, band. 2. anthill.
pusung	dreamer, dullard.
pusut	awl.
putao	(china) rice wine.
putar	turning.
putaran	1 circle. 2 crank, windlass. 3 wheel. 4 showing.
puter	1. k.o. dove. 2. (java) see putar.
putera	1 prince. 2 son, child (of o. who is respected). 3 a son of (o. from) a certain place. 4. male.
puteri	1 princess. 2 daughter, girl (of o. who is respected). 3 female.
putih	1 white. 2 pale, fair skinned. 3 pure.
putik	(biol.) 1 bud, pistil. 2 ovary. ber-putik beginning to bear fruit.
puting	1 handle, hilt. 2 stalk.
puting-beliung	whirlwind, waterspout.
putra	see putera.
putri	see puteri.
putu	steamed cake. putu-mayang k.o. cake made of rice noodles fashioned into a wreath.
putus	1 broken off, served. 2 break. 3 finish. 4 break a promise. 5 sever s.t.
puyan	body dirt.
puyang	see lempuyang.
puyeng	1 headache. 2 confused, dizzy.
puyuh	1. quail. 2. see angin.
puyunghai	see fuyonghai.
pwi	[persatuan wartawan indonesia] journalists' association of indonesia.
pym	[paduka yang mulia] your excellency.
pyuh-pyuh	expression of surprise.
q	the 17 th letter of the alphabet.
q-	almost all words with q may also be written with k. for entries with q- see k-.
qabil	(islam) cain, abel's brother.
qari	(islam) receiter of the koran.
qariah	(islam) female reciter of the koran.
qur'an	see koran.
r	the 18 letter of the alphabet.
r.	[raden] (java) masculine noble title.
r.m.	[raden mas] (java) title of minor male nobility.
ra'yat	see rakyat.
ra.	[radiallahu an(hu) ] (islam) an exclamation uttered after mention of o. of muh.'s companions or the prophets: may god bless him !
raad	see rad.
rab	[rencana anggaran belanja] 1 budget plan. 2 draft budge.
raba	1 feel s.t. 2 grope (often with sexual implications). 3 guess.
rabaan	1 touch. 2 groping with the hand. 3 guess, estimate.
rabah	shrike.
rabak	1 large tear, rip. 2 in tatters
raban	1 jabber, babble. 2 rave, be delirious.
rabas	(m) drizzle.
rabat	rebate, quantity discount.
rabbi	(bib.) lord.
rabi'ul-akhir	(islam) 4th month of arabic calendar.
rabi'ul-awal	(islam) 3d month of arabic calendar.
rabies	rabies.
rabik	/rabit/ torn, tattered at the edges.
rabu	1.(m) lungs. 2. size, carry off (loot, etc.). 3. wednesday.
rabuk	1 fertilizer. 2 tinderwood.
rabun	1) hazy, dim. 2) near sighted .
rabung	ridge of a house.
rabut	see cabut.
racau	delirious.
racek	(jakarta) pockmarked.
racik	1. bird snare. 2. 1) cut into thin slices. 2) blend various proper ingredients into food, etc. 3) eat foods already mixed (rice with vegetables, etc.). 4) make the necessary preparations prior to a main endeavor.
racuk	tease, entice s.o.
racun	poison.
rad	council.
rada	(java, jakarta) rather, somewhat.
radak	1 a stab with a spear. 2 an attact.
radang	1 inflamed, hot. 2 fly into a rage.
raden	1 title of java nobility. 2 form of address, esp. as den.
rader	rolling pin.
rades	radish.
radiallahu-anhu	(islam) may god bless him, exclamation uttered after the mention of o. of muh.'s companions or the prophets.
radiasi	radiation.
radiator	radiator.
radikal	(pol.) radical. radicalism.
radikalisasi	radicalization.
radikalisir	radicalize.
radikalisme	radicalism.
radin	see raden.
radio	radio.
radioaktif	radioactive.
radioaktifitas	radioactivity.
radiogram	radiogram.
radiologi	radiology.
radiowan	radioman.
radius	circle, radius.
radmolen	ferris wheel.
rafia	1 raffia fibre. 2 k.o. twine made of thin strips of plastic similar to raffia fibre.
raflesia	k.o. endotropic parasitic plant, the rafflesia.
raga	1. 1) (lit.) boast, show off. 2) hold an exhibition. 2. 1) k.o. simple rattan basket. 2) ball plaited from rattan. 3. (lit.) body.
ragam	1 melody, tune. 2 manner, kind. 3 caprice, whim. 4 (ling.) register, style.
ragangan	1 scaffolding, laths. 2 kite frame. 3 handlebars.
ragas	1 pull out (hir, grass, etc.). 2 cut, tear.
ragawi	physical.
ragbol	1 dust mop, esp. for ceilings. 2 moplike tool for cleaning toiled bowl.
ragi	1. yeast, fermentation agent. 2. design, formulation.
ragib	absorbed in an activity.
ragil	(java) youngest (child).
ragu	hesitant. ragu-ragu 1 be wary, uncertain. 2 hesitate to do s.t.
ragum	(lit.) vise, clamp.
raguman	joint (membership, etc.).
ragut	see renggut.
rahab	see rahap1.
rahang	jaw. rahang-atas upper jaw. rahang-bawah lower jaw.
rahap	1. shroud. 2. 1) alight. 2)kneel down next to. 3) throw o.s. face down.
raharja	(java) well-being prosperty.
rahasia	secret.
rahat	see istirahat.
rahayat	see rakyat.
rahayu	1 well-being. 2 greeting, esp. used by adherents of java folk religion.
rahib	1 monk. 2 nun.
rahim	1. womb, uterus. 2. (islam) merciful (of god).
rahimi	(islam) merciful (of god).
rahman	/rahmani/ (islam) compassionate (of god).
rahmat	(islam) god's mercy.
rahmatullah	(islam) mercy of god.
rahsia	see rahasia.
rahu	k.o. monster that causes lunar eclipses by swallowing moon.
rahuh	sigh of relief.
rai-gedek	(java) shameless.
raib	see gaib.
raih	1 reach for. 2 sweep up, take in toward o.s. 3 achieve, manage to obtain.
rais	1. sweep off. 2. president or chairman, formerly used by the islam party.
rait	screeching sound.
raja	1 king. 2 tycoon. 3 o. who excels at s.t. 4 (che.) king.
rajab	(islam) 7th month of arabic calendar.
rajabrana	(java) treasure, riches.
rajah	1. 1) (lit.) figure or design with mystical properties. 2) tattoo. 3 lines in the palm. 2. see raja.
rajakula	dynasty.
rajalela	violent and arbitrary.
rajalele	prized variety of rice.
rajam	me-rajam stone to death.
rajaman	stoning.
rajang	cut into small pieces, mince (vegetables, etc.). rajang-an cut tobacco.
rajawali	k.o. large black hawk.
rajet	(coll.) broken into small pieces.
rajin	1 industrious, diligent. 2 frequently.
rajuk	pout, sulk.
rajungan	k.o. small crab.
rajut	net.
rak	1. cracking sound. 2 shelf, rack.
raka	1 (lit.) elder brother. 2 senior male university student.
rakaat	(islam) essential unit of prayer ritual, consisting of bows and prostrations performed a prescribed number of times.
rakam	1 stamping, printing. 2 embroidering.
rakaman	1 notes, recorded materials. 2 recording (of music, etc.).
rakan	see rekan.
rakanita	senior female university student.
rakat	see rekat.
rakawati	see rakanita.
raker	[rapat kerja] meeting at which work is accomplished.
rakerda	[rapat kerja daerah] regional working meeting.
rakernas	[rapat kerja nasional] national working meeting.
raket	1. (sport) racket. 2. see roket.
rakhman	/rakhmani/ see rahman, rahmani.
rakhmat	see rahmat.
rakit	raft.
rakna	see ratna.
raksa	see air.
raksamala	see rasamala.
raksasa	1 mythical gigantic demon. 2 giant.
raksasi	see raseksi.
raksi	1. perfume. 2 see rasi 1.
rakuk	nick, notch, indentation.
rakus	greedy, voracious.
rakut	1 spin a web, lay a snare. 2 deceive.
rakyat	populace, citizenry.
ralat	error, mistake, esp. typographical.
ralip	me-ralip doze off. pe-ralip o. who is always sleepy.
raliwan	(sport) participant in sports rally.
rally	/reli/ (sport) rally.
ram	[republik arab mesir] egyptian arab republic.
rama	see romo.
rama-rama	butterfly, us. large.
ramadan	/ramadhan, ramadlan/ (islam) 9th month of the arabic calendar, fasting month.
ramah	friendly, easy to talk with. ramah-tamah hospitable and friendly.
ramai	1 crowded, busy. 2 bustling, lively, festive. 3 noisy, loud. 4 interesting.
ramal	tell fortunes.1 predict. 2 portend.
ramalan	1 prognosis, prediction.oracle, fortune-teller.
ramanda	(java, repsectful) 1 father (respectful). 2 uncle.
ramas	1. 1) press, knead. 2.) see rames.
ramayana	great hindu epic from which many themes of indonesian literature and public life are drawn.
rambah	clear away, cut down.
rambai	1. k.o. tree bearing edible but undomesticated fruit. 2. 1) fringe. 2) tuft of hair.
rambak	edible portion of beef or pork skin, often fried as chips or used in sauces.
ramban	(jakarta) collect grass or leaves for food.
rambang	1. broad, wide, extensive. 2.see rembang.
rambas	me-rambas crush s.t.
rambat	spreading, creeping.
rambatan	propagation.
rambate-rata-hayo	(java) heave-ho, phrase uttered in unison by group carrying s.t. heavy.
rambia	see rumbia.
rambo	/rembo/ the movie character rambo.
rambu	1. fringe, tassel. 2. (naut.) short pillar on quay for tying up ships, buoy. rambu-lalulintas traffic sign.
rambun	tangled undergrowth.
rambut	1 hair of the head. 2 (coll.) body hair. 3 mane. 4 (coll.) thread. 5 (coll.) filament.
rambutan	k.o. nephelium tree bearing fruit similar to lychee, the rambutan. rambutan-rapiah highly priced k.o. rambutan of jakarta.
rame	see ramai.
ramelan	see ramadan.
rames	1 mix by kneading. 2 provide with a misture.
rami	hemp, jute.
ramin	basket making.
rampai	various.
rampai-rampai	mixed, jumble.
rampak	1. thick, dense (of foliage, crowd). 2. completely dressed up. 3. see rempak.
rampas	seize, carry away.
rampasan	loot.
rampat	swing, brandish.
ramping	1. slender, slightly built. 2. side by side, next to. 3. 1) disfigured, multilated. 2) pierced (of ears).
rampok	rob, plunder .
rampung	(java) finished, settled, completed.
rampus	indecent (of language).
ramsum	see rangsum.
ramu	gather, collect.
ramuan	ingredients, concoction.
ramus	superfluous hair.
rana	1. long-suffering. 2. see ratna.
ranah	1 meadow, low-lying valley. 2 domain.
ranai	rizzle, trickle.
ranap	still, quiet.
rancah	scaffolding.
rancak	1. (m) handsome, beautiful. 2. a set.
rancakan	stand for a set of small gongs.
rancang	stake, post.
rancangan	plan, program.
rancap	1. pointed. 2 masturbation.
rancu	confused.
rancung	pointed, acute.
randa	widow, widower (in some areas of indonesia).
randai	1. traditional minangkabau theather. 2. traverse on foot.
randang	see rendang.
randau	1 eat food that has been mixed together or seasoned. 2 make food tasty by mixing several things together.
randek	(jakarta) stop.
randu	silk-cotton tree.
randung	violet, step on, infringe.
rang	1. rank, position. 2. clanging sound. 3. design, plan. 4. see orang 2.
rang-rangan	rough draft, outline.
rangah	boast.
rangak	(m) noisy.
rangam	tomato.
rangas	(jakarta) termite.
rangda	see randa.
rangga	sharp point.
ranggah	1. sharp point. 2 cock's comb. 3.strip s.t of all its fruit.
ranggak	(naut.) tow (in embarkation).
ranggas	1 withered, arid. 2 leafless.
ranggeh	me-ranggeh reach for s.t.
ranggi	attractive.
ranggul	me-ranggul tilt up.
ranggung	with legs apart.
rangin	long sash (for dancing).
rangka	1 framework. 2 draft, blueprint.
rangkah	see rangkak.
